Feature.ID,Taxon,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species,otu_occ,otu_rel,fill
AB370875.1.1495,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_fuchuensis,0.752726516609638,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_fuchuensis,0.0227272727272727,2.54472959301346e-05,Rare
AB538433.1.1488,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcales-Tissierellales; Anaerococcus; Anaerococcus_hydrogenalis,0.958108046133668,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Peptostreptococcales-Tissierellales, Anaerococcus, Anaerococcus_hydrogenalis,0.0340909090909091,0.000827837871708648,Rare
AB547696.1.1280,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_nigrescens,0.998945342916447,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella_nigrescens,0.0227272727272727,7.46653402857919e-06,Rare
AB637074.1.1458,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_(Subgroup_1); Terriglobus,0.991100503248192,Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae_(Subgroup_1), Terriglobus,NA,0.113636363636364,0.000401225129127703,Rare
AB681346.1.1462,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,0.996855417099744,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA,0.0909090909090909,0.00182855184633832,Rare
AB681355.1.1464,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter,0.999275703169097,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Psychrobacter,NA,0.0227272727272727,3.97770773125241e-05,Rare
AB698685.1.1444,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum,0.955886873657468,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylobacterium-Methylorubrum,NA,0.0681818181818182,0.000761967036728245,Rare
AB698720.1.1455,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum,0.997842676514008,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylobacterium-Methylorubrum,NA,0.0227272727272727,6.2739732010635e-05,Rare
AB730646.1.1429,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus,0.996647295872104,Bacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae, Staphylococcus,NA,0.0454545454545455,0.00188619109718208,Rare
AB735688.1.1201,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Jeotgalicoccus,0.999115720395859,Bacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae, Jeotgalicoccus,NA,0.0227272727272727,2.96664696549877e-05,Rare
AB746431.1.1394,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae,0.999944130005777,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae,NA,NA,0.0227272727272727,8.28986320808816e-05,Rare
AB991050.1.1411,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12,0.928481718384375,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, 1174-901-12,NA,0.284090909090909,0.00414017363979455,Core
ADNU01000076.15.1525,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium,0.985351690699631,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Brevibacteriaceae, Brevibacterium,NA,0.0454545454545455,0.00011648466032144,Rare
AF016390.1.1538,Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella,0.706808542985819,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella,NA,0.0227272727272727,0.000100950820156206,Rare
AF243141.1.1505,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus,0.993672134323275,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus,NA,0.0568181818181818,0.00114589799804861,Rare
AF247813.1.1375,Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineococcus,0.914300799651937,Bacteria, Actinobacteriota, Actinobacteria, Kineosporiales, Kineosporiaceae, Kineococcus,NA,0.0227272727272727,0.00010477403834592,Rare
AF371472.1.1492,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus,0.985477429532686,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus,NA,0.0227272727272727,4.66673157487475e-05,Rare
AF498717.1.1397,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; uncultured,0.921005552080779,Bacteria, Proteobacteria, Alphaproteobacteria, Micropepsales, Micropepsaceae, uncultured,NA,0.0454545454545455,0.000200575044902271,Rare
AF533352.1.1433,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Roseomonas,0.95610716071443,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Roseomonas,NA,0.0454545454545455,0.000474587445536859,Rare
AF542072.1.1334,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Kocuria,0.871212505497501,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, Kocuria,NA,0.0454545454545455,5.53815863067437e-05,Rare
AF542234.1.1418,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcales-Tissierellales; Anaerococcus,0.999999942560567,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Peptostreptococcales-Tissierellales, Anaerococcus,NA,0.0909090909090909,0.00117790619233083,Rare
AGZE01000001.1.1322,Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Facklamia; Facklamia_ignava,0.998873634723696,Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Facklamia, Facklamia_ignava,0.0340909090909091,0.000319663387922248,Rare
AJ131121.1.1481,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales,0.894821143980784,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales,NA,NA,NA,0.0795454545454545,0.0172672167395553,Rare
AJ227797.1.1418,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas,0.98993557936895,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas,NA,0.0454545454545455,0.000557076625398088,Rare
AJ272303.1.1426,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter,0.999990666809115,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Psychrobacter,NA,0.0227272727272727,5.88495218091823e-05,Rare
AJ275038.1.1439,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter_ursingii,0.725484935297915,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter_ursingii,0.0340909090909091,0.000117478857961531,Rare
AJ292597.1.1461,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidocella,0.832506474967666,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Acidocella,NA,0.0227272727272727,4.66239389133634e-05,Rare
AJ292602.1.1452,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium,0.970059439224754,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Acidiphilium,NA,0.0227272727272727,2.2317735463077e-05,Rare
AJ292648.1.1494,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia,0.940201515709599,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia,NA,0.0227272727272727,0.000979716417163851,Rare
AJ575688.1.1457,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax,0.764385548814448,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax,NA,0.0681818181818182,0.00174144207224097,Rare
AJ786801.1.1437,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Devosia,0.731020408755114,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Devosiaceae, Devosia,NA,0.0227272727272727,0.000565435155343059,Rare
AJ884795.1.1413,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia,0.893444636336268,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia,NA,0.0454545454545455,0.000263935418480929,Rare
AM039968.1.1512,Bacteria; Firmicutes; Bacilli; Lactobacillales,0.999715770813768,Bacteria, Firmicutes, Bacilli, Lactobacillales,NA,NA,NA,0.0113636363636364,1.82281017096374e-05,Rare
AM237368.1.1456,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus,0.996296048437679,Bacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae, Staphylococcus,NA,0.0227272727272727,0.000302486838220318,Rare
AM269902.1.1421,Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella,0.987153199703142,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella,NA,0.0227272727272727,3.32034532210697e-05,Rare
AM403311.1.1280,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter,0.999429114223716,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,NA,0.0227272727272727,0.000939329468509504,Rare
AM420030.1.1477,Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Capnocytophaga,0.995092853114923,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga,NA,0.0227272727272727,9.22654690908282e-05,Rare
AM420149.1.1479,Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Capnocytophaga,0.999994161570681,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga,NA,0.0227272727272727,3.19896331304509e-05,Rare
AM423088.1.1339,Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium,0.996820489378493,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Weeksellaceae, Chryseobacterium,NA,0.0795454545454545,0.000431307817911718,Rare
AM696989.1.1449,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium,0.784321975009771,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Acidiphilium,NA,0.113636363636364,0.000565618153270215,Rare
AM697010.1.1473,Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Jatrophihabitans,0.709955729177979,Bacteria, Actinobacteriota, Actinobacteria, Frankiales, Frankiaceae, Jatrophihabitans,NA,0.0227272727272727,4.2550012213964e-05,Rare
AM697130.1.1456,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_(Subgroup_1),0.998495990311719,Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae_(Subgroup_1),NA,NA,0.0340909090909091,0.000366396444373601,Rare
AM697195.1.1484,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae,0.932653659348007,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,NA,NA,0.0568181818181818,6.85112311131436e-05,Rare
AM697454.1.1437,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas,0.859422012894236,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas,NA,0.204545454545455,0.0028281103343269,Rare
AM936813.1.1323,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; uncultured,0.883294055005171,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, uncultured,NA,0.0340909090909091,0.000104317829971539,Rare
AM943029.1.1242,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_piscium,0.79945044642767,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus, Lactococcus_piscium,0.0568181818181818,8.83087665955862e-05,Rare
AMGM01000177.486.1752,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae,0.926472381185103,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae,NA,NA,0.0227272727272727,8.77129468626381e-05,Rare
AOQF01000068.44124.45733,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella,0.907076282917353,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia-Shigella,NA,0.0340909090909091,0.00325961707459648,Rare
AOQH01000134.9789.11348,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella,0.906070873043562,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia-Shigella,NA,0.204545454545455,0.00939086771699741,Core
ATKJ02000147.82.1446,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,0.98289461972097,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus,NA,0.0227272727272727,1.02161199141867e-05,Rare
AY173020.1.1325,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales,0.999692453896052,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales,NA,NA,NA,0.0568181818181818,0.00236461316963371,Rare
AY500143.1.1430,Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia,0.992409036308618,Bacteria, Actinobacteriota, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Pseudonocardia,NA,0.0227272727272727,6.26274507904478e-05,Rare
AY543038.1.1420,Bacteria; Firmicutes; Bacilli; Lactobacillales; Listeriaceae; Brochothrix,0.991972190431345,Bacteria, Firmicutes, Bacilli, Lactobacillales, Listeriaceae, Brochothrix,NA,0.0227272727272727,0.000106047883062488,Rare
AY581130.1.1377,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales,0.992335805484813,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales,NA,NA,NA,0.0340909090909091,5.19916370613331e-05,Rare
AY663435.1.1430,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,0.985961346438341,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,NA,0.0227272727272727,3.88068328920619e-06,Rare
AY792246.1.1361,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia,0.707403200424042,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia,NA,0.0227272727272727,1.46032002806937e-05,Rare
AY922019.1.1391,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia,0.846342699609379,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia,NA,0.0227272727272727,6.03751565855652e-05,Rare
CP012119.1331602.1333155,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus,0.940528223383637,Bacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae, Staphylococcus,NA,0.0909090909090909,0.00505797116140089,Rare
CR933228.2.1304,Bacteria; Actinobacteriota; Actinobacteria; uncultured; uncultured; uncultured,0.711616680761543,Bacteria, Actinobacteriota, Actinobacteria, uncultured, uncultured, uncultured,NA,0.0340909090909091,0.000314903137002907,Rare
CU924115.1.1369,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Lentimicrobiaceae; Lentimicrobium; Bacteroidetes_bacterium,0.711929780203965,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Lentimicrobiaceae, Lentimicrobium, Bacteroidetes_bacterium,0.0227272727272727,6.77771228503143e-05,Rare
CU927448.1.1343,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae,0.999211709967615,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,NA,NA,0.0340909090909091,5.52664632527366e-05,Rare
CVRG01041904.1.1229,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,0.994643751214982,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA,0.0227272727272727,0.000595900626812237,Rare
D32226.1.1405,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum,0.949899921242992,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylobacterium-Methylorubrum,NA,0.0340909090909091,7.97527803073026e-05,Rare
DQ059817.1.1299,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales,0.999172182099399,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales,NA,NA,NA,0.0340909090909091,0.00139075839955735,Rare
DQ129588.1.1516,Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; P3OB-42; uncultured_bacterium,0.76683071120238,Bacteria, Myxococcota, Myxococcia, Myxococcales, Myxococcaceae, P3OB-42, uncultured_bacterium,0.0227272727272727,0.000342968946067317,Rare
DQ257419.1.1483,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae,0.999504493044437,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,NA,NA,0.0227272727272727,1.05593197562288e-05,Rare
DQ420178.1.1216,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,0.98265478783455,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA,0.0227272727272727,7.26889800146442e-05,Rare
DQ440548.1.1439,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia,0.745602633376024,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Serratia,NA,0.0340909090909091,4.42915946643517e-05,Rare
DQ521477.1.1424,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_(Subgroup_1),0.998250669643482,Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae_(Subgroup_1),NA,NA,0.0681818181818182,0.000473275601068527,Rare
DQ532229.1.1476,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_(Subgroup_1); Terriglobus,0.984053022761849,Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae_(Subgroup_1), Terriglobus,NA,0.0340909090909091,5.41238980647376e-05,Rare
DQ644497.1.1533,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas,0.858419833659834,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas,NA,0.0227272727272727,0.000172998958479628,Rare
DQ800421.1.1361,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Romboutsia,0.768331876475736,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Peptostreptococcaceae, Romboutsia,NA,0.0227272727272727,5.58244480509515e-05,Rare
DQ834356.1.1441,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,0.991612464611934,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,NA,0.0568181818181818,0.0019010629120092,Rare
DQ860047.1.1505,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,0.997167853691505,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,NA,0.0113636363636364,1.11359850128732e-06,Rare
DQ906050.1.1458,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_(Subgroup_1); Granulicella,0.881801160444354,Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae_(Subgroup_1), Granulicella,NA,0.0227272727272727,0.000112449010564559,Rare
EF019185.1.1381,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae,0.998021996209747,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae,NA,NA,0.0227272727272727,8.01588269791385e-05,Rare
EF019669.1.1293,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas,0.949492437408846,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas,NA,0.136363636363636,0.00131408964709702,Rare
EF050096.1.1264,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae,0.964432011739908,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae,NA,NA,0.0227272727272727,0.000188846659760989,Rare
EF111062.1.1228,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas,0.893160056368785,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas,NA,0.102272727272727,0.00122808905518994,Rare
EF441950.1.1245,Bacteria; Proteobacteria; Alphaproteobacteria; Reyranellales; Reyranellaceae; Reyranella,0.992840759659192,Bacteria, Proteobacteria, Alphaproteobacteria, Reyranellales, Reyranellaceae, Reyranella,NA,0.0568181818181818,0.000396764799926582,Rare
EF451667.1.1266,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae,0.999480903345811,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Microbacteriaceae,NA,NA,0.0227272727272727,4.43916559241946e-05,Rare
EF470567.1.1267,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,0.999289205557063,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,NA,0.0227272727272727,1.94472704659413e-06,Rare
EF516822.1.1479,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae,0.986023346943723,Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae,NA,NA,0.0795454545454545,0.000498701385571158,Rare
EF522125.1.1538,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae,0.99963801995527,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae,NA,NA,0.0227272727272727,0.000208399438994545,Rare
EF653575.1.1340,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae,0.999983032985373,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,NA,NA,0.0227272727272727,0.000175744069234945,Rare
